#,Заказной код,Условное обозначение:Заказной код:Подсоединение,Параметр:Заказной код:Давление,Параметр:Заказной код:CV,Параметр:Заказной код:Ду(мм),Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Минимальная температура,Параметр:Заказной код:Максимальная температура,Параметр:Заказной код:Седло Шара,Параметр:Заказной код:Уплотнение штуцеров,Параметр:Заказной код:Форма корпуса,Параметр:Заказной код:Крепление на панель,Параметр:Заказной код:Сальник
,H2B-3S-F-8R-PK,внутр.,"331,2 бар",10,"12,7",RT 1/2,-30°C,130°C,PEEK,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-3S-F-8R-PKPT,внутр.,"331,2 бар",10,"12,7",RT 1/2,-46°C,232°C,PEEK,PTFE,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-3S-F-8R-PK-ML,внутр.,552 бар,10,"12,7",RT 1/2,-54°C,260°C,PEEK,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-3S-F-8R-PKPT-ML,внутр.,552 бар,10,"12,7",RT 1/2,-46°C,232°C,PEEK,PTFE,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-H-10T-ML,,340 бар,10,"12,7",Hy-Lok 5/8,-23°C,191°C,PVDF,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-H-10T-PC-ML,,340 бар,10,"12,7",Hy-Lok 5/8,-23°C,191°C,PCTFE,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-H-10T-PK-ML,,410 бар,10,"12,7",Hy-Lok 5/8,-23°C,191°C,PEEK,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-H-10T-PKPT-ML,,410 бар,10,"12,7",Hy-Lok 5/8,-46°C,232°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-H-12T-ML,,340 бар,10,"12,7",Hy-Lok 3/4,-23°C,191°C,PVDF,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-H-12T-PC-ML,,340 бар,10,"12,7",Hy-Lok 3/4,-23°C,191°C,PCTFE,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-H-12T-PK-ML,,410 бар,10,"12,7",Hy-Lok 3/4,-23°C,191°C,PEEK,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-H-12T-PKPT-ML,,410 бар,10,"12,7",Hy-Lok 3/4,-46°C,232°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-H-16M-ML,,340 бар,10,"12,7",Hy-Lok 16мм,-23°C,191°C,PVDF,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-H-16M-PC-ML,,340 бар,10,"12,7",Hy-Lok 16мм,-23°C,191°C,PCTFE,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-H-16M-PK-ML,,410 бар,10,"12,7",Hy-Lok 16мм,-23°C,191°C,PEEK,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-H-16M-PKPT-ML,,410 бар,10,"12,7",Hy-Lok 16мм,-46°C,232°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-H-18M-ML,,340 бар,10,"12,7",Hy-Lok 18мм,-23°C,191°C,PVDF,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-H-18M-PC-ML,,340 бар,10,"12,7",Hy-Lok 18мм,-23°C,191°C,PCTFE,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-H-18M-PK-ML,,410 бар,10,"12,7",Hy-Lok 18мм,-23°C,191°C,PEEK,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-H-18M-PKPT-ML,,410 бар,10,"12,7",Hy-Lok 18мм,-46°C,232°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-F-12N-ML,внутр.,340 бар,30,19,NPT 3/4,-23°C,191°C,PVDF,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-F-12N-PC-ML,внутр.,340 бар,30,19,NPT 3/4,-23°C,191°C,PCTFE,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-F-12N-PK-ML,внутр.,410 бар,30,19,NPT 3/4,-23°C,191°C,PEEK,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-F-12N-PKPT-ML,внутр.,410 бар,30,19,NPT 3/4,-46°C,232°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-F-12R-ML,внутр.,340 бар,30,19,RT 3/4,-23°C,191°C,PVDF,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-F-12R-PC-ML,внутр.,340 бар,30,19,RT 3/4,-23°C,191°C,PCTFE,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-F-12R-PK-ML,внутр.,410 бар,30,19,RT 3/4,-23°C,191°C,PEEK,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-F-12R-PKPT-ML,внутр.,410 бар,30,19,RT 3/4,-46°C,232°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-F-8N-ML,внутр.,340 бар,"7,5",10,NPT 1/2,-23°C,191°C,PVDF,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-F-8N-PC-ML,внутр.,340 бар,"7,5",10,NPT 1/2,-23°C,191°C,PCTFE,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-F-8N-PK-ML,внутр.,410 бар,"7,5",10,NPT 1/2,-23°C,191°C,PEEK,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-F-8N-PKPT-ML,внутр.,410 бар,"7,5",10,NPT 1/2,-46°C,232°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-F-8R-ML,внутр.,340 бар,"7,5",10,RT 1/2,-23°C,191°C,PVDF,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-F-8R-PC-ML,внутр.,340 бар,"7,5",10,RT 1/2,-23°C,191°C,PCTFE,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-F-8R-PK-ML,внутр.,410 бар,"7,5",10,RT 1/2,-23°C,191°C,PEEK,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-F-8R-PKPT-ML,внутр.,410 бар,"7,5",10,RT 1/2,-46°C,232°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-M-12N-ML,наруж.,340 бар,10,"12,7",NPT 3/4,-23°C,191°C,PVDF,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-M-12N-PC-ML,наруж.,340 бар,10,"12,7",NPT 3/4,-23°C,191°C,PCTFE,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-M-12N-PK-ML,наруж.,410 бар,10,"12,7",NPT 3/4,-23°C,191°C,PEEK,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-M-12N-PKPT-ML,наруж.,410 бар,10,"12,7",NPT 3/4,-46°C,232°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-M-12R-ML,наруж.,340 бар,10,"12,7",RT 3/4,-23°C,191°C,PVDF,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-M-12R-PC-ML,наруж.,340 бар,10,"12,7",RT 3/4,-23°C,191°C,PCTFE,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-M-12R-PK-ML,наруж.,410 бар,10,"12,7",RT 3/4,-23°C,191°C,PEEK,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-M-12R-PKPT-ML,наруж.,410 бар,10,"12,7",RT 3/4,-46°C,232°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-H-10T-ML,,340 бар,10,"12,7",Hy-Lok 5/8,-23°C,191°C,PVDF,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-H-10T-PC-ML,,340 бар,10,"12,7",Hy-Lok 5/8,-23°C,191°C,PCTFE,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-H-10T-PK-ML,,410 бар,10,"12,7",Hy-Lok 5/8,-23°C,191°C,PEEK,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-H-10T-PKPT-ML,,410 бар,10,"12,7",Hy-Lok 5/8,-46°C,232°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-H-12T-ML,,340 бар,10,"12,7",Hy-Lok 3/4,-23°C,191°C,PVDF,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-H-12T-PC-ML,,340 бар,10,"12,7",Hy-Lok 3/4,-23°C,191°C,PCTFE,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-H-12T-PK -ML,,410 бар,10,"12,7",Hy-Lok 3/4,-23°C,191°C,PEEK,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-H-12T-PKPT -ML,,410 бар,10,"12,7",Hy-Lok 3/4,-46°C,232°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-H-16M,,340 бар,10,"12,7",Hy-Lok 16мм,-23°C,191°C,PVDF,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-H-16M-PC,,340 бар,10,"12,7",Hy-Lok 16мм,-23°C,191°C,PCTFE,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-H-16M-PK,,410 бар,10,"12,7",Hy-Lok 16мм,-23°C,191°C,PEEK,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-H-16M-PKPT,,410 бар,10,"12,7",Hy-Lok 16мм,-46°C,232°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-H-18M,,340 бар,10,"12,7",Hy-Lok 18мм,-23°C,191°C,PVDF,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-H-18M-PC,,340 бар,10,"12,7",Hy-Lok 18мм,-23°C,191°C,PCTFE,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-H-18M-PK,,410 бар,10,"12,7",Hy-Lok 18мм,-23°C,191°C,PEEK,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-H-18M-PKPT,,410 бар,10,"12,7",Hy-Lok 18мм,-46°C,232°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-F-12N-ML,внутр.,340 бар,10,"12,7",NPT 3/4,-23°C,191°C,PVDF,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-F-12N-PC-ML,внутр.,340 бар,10,"12,7",NPT 3/4,-23°C,191°C,PCTFE,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-F-12N-PK-ML,внутр.,410 бар,10,"12,7",NPT 3/4,-23°C,191°C,PEEK,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-F-12N-PKPT-ML,внутр.,410 бар,10,"12,7",NPT 3/4,-46°C,232°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-F-12R-ML,внутр.,340 бар,10,"12,7",RT 3/4,-23°C,191°C,PVDF,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-F-12R-PC-ML,внутр.,340 бар,10,"12,7",RT 3/4,-23°C,191°C,PCTFE,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-F-12R-PK-ML,внутр.,410 бар,10,"12,7",RT 3/4,-23°C,191°C,PEEK,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-F-12R-PKPT-ML,внутр.,410 бар,10,"12,7",RT 3/4,-46°C,232°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-F-8N-ML,внутр.,340 бар,10,"12,7",NPT 1/2,-23°C,191°C,PVDF,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-F-8N-PC-ML,внутр.,340 бар,10,"12,7",NPT 1/2,-23°C,191°C,PCTFE,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-F-8N-PK-ML,внутр.,410 бар,10,"12,7",NPT 1/2,-23°C,191°C,PEEK,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-F-8N-PKPT-ML,внутр.,410 бар,10,"12,7",NPT 1/2,-46°C,232°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-F-8R,внутр.,340 бар,10,"12,7",RT 1/2,-23°C,191°C,PVDF,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-F-8R-ML,внутр.,340 бар,10,"12,7",RT 1/2,-23°C,191°C,PVDF,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-F-8R-PC,внутр.,340 бар,10,"12,7",RT 1/2,-23°C,191°C,PCTFE,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-F-8R-PC-ML,внутр.,340 бар,10,"12,7",RT 1/2,-23°C,191°C,PCTFE,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-F-8R-PK,внутр.,410 бар,10,"12,7",RT 1/2,-23°C,191°C,PEEK,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-F-8R-PKPT,внутр.,410 бар,10,"12,7",RT 1/2,-46°C,232°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-F-8R-PK-ML,внутр.,410 бар,10,"12,7",RT 1/2,-23°C,191°C,PEEK,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-F-8R-PKPT-ML,внутр.,410 бар,10,"12,7",RT 1/2,-46°C,232°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-M-12N-ML,наруж.,340 бар,10,"12,7",NPT 3/4,-23°C,191°C,PVDF,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-M-12N-PC-ML,наруж.,340 бар,10,"12,7",NPT 3/4,-23°C,191°C,PCTFE,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-M-12N-PK-ML,наруж.,410 бар,10,"12,7",NPT 3/4,-23°C,191°C,PEEK,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-M-12N-PKPT-ML,наруж.,410 бар,10,"12,7",NPT 3/4,-46°C,232°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-M-12R,наруж.,340 бар,10,"12,7",RT 3/4,-23°C,191°C,PVDF,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-M-12R-ML,наруж.,340 бар,10,"12,7",RT 3/4,-23°C,191°C,PVDF,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-M-12R-PC,наруж.,340 бар,10,"12,7",RT 3/4,-23°C,191°C,PCTFE,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-M-12R-PC-ML,наруж.,340 бар,10,"12,7",RT 3/4,-23°C,191°C,PCTFE,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-M-12R-PK,наруж.,410 бар,10,"12,7",RT 3/4,-23°C,191°C,PEEK,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-M-12R-PKPT,наруж.,410 бар,10,"12,7",RT 3/4,-46°C,232°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-M-12R-PK-ML,наруж.,410 бар,10,"12,7",RT 3/4,-23°C,191°C,PEEK,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-M-12R-PKPT-ML,наруж.,410 бар,10,"12,7",RT 3/4,-46°C,232°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H3B-3B-H-12T-ML,,340 бар,10,"12,7",Hy-Lok 3/4,-23°C,191°C,PVDF,Viton,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H3B-3B-H-12T-PC-ML,,340 бар,10,"12,7",Hy-Lok 3/4,-30°C,180°C,PCTFE,Viton,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H3B-3B-H-12T-PK-ML,,410 бар,10,"12,7",Hy-Lok 3/4,-23°C,191°C,PEEK,Viton,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H3B-3B-H-12T-PKPT-ML,,410 бар,10,"12,7",Hy-Lok 3/4,-46°C,232°C,PEEK,PTFE,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H3B-3B-H-16T-ML,,340 бар,30,19,Hy-Lok 1,-23°C,191°C,PVDF,Viton,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H3B-3B-H-16T-PC-ML,,340 бар,30,19,Hy-Lok 1,-30°C,180°C,PCTFE,Viton,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H3B-3B-H-16T-PK-ML,,410 бар,30,19,Hy-Lok 1,-23°C,191°C,PEEK,Viton,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H3B-3B-H-16T-PKPT-ML,,410 бар,30,19,Hy-Lok 1,-46°C,232°C,PEEK,PTFE,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H3B-3B-H-20M,,340 бар,19,"15,8",Hy-Lok 20мм,-23°C,191°C,PVDF,Viton,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-3B-H-20M-ML,,340 бар,10,"12,7",Hy-Lok 20мм,-23°C,191°C,PVDF,Viton,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H3B-3B-H-20M-PC,,340 бар,19,"15,8",Hy-Lok 20мм,-30°C,180°C,PCTFE,Viton,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
