"#","Код","Параметр:Код:Подсоединение","Параметр:Код:Длина капиллярной трубки, мм","Параметр:Код:Микропереключатель","Параметр:Код:Наружный диаметр штока","Параметр:Код: Диапазон температур (W - с заполнением жидкостью / G - с заполнением газом).","Параметр:Код:Диаметр штока x Длина штока/Длина капиллярной трубки, мм","Параметр:Код:Микропереключатель","Параметр:Код:Длина штока (мм)"
,"ETS3000X-B-L(0~150)-0-B-1-104-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø6мм","L(0~150°С)","ø6ммx104мм<br>нет","SPDTx1","104мм"
,"ETS3000X-B-L(0~150)-0-B-1-104-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø6мм","L(0~150°С)","ø6ммx104мм<br>нет","SPDTx2","104мм"
,"ETS3000X-B-L(0~150)-0-B-2-80-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø8мм","L(0~150°С)","ø8ммx80мм<br>нет","SPDTx1","80мм"
,"ETS3000X-B-L(0~150)-0-B-2-80-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø8мм","L(0~150°С)","ø8ммx80мм<br>нет","SPDTx2","80мм"
,"ETS3000X-B-L(0~150)-0-B-4-70-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø12мм","L(0~150°С)","ø12ммx70мм<br>нет","SPDTx1","70мм"
,"ETS3000X-B-L(0~150)-0-B-4-70-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø12мм","L(0~150°С)","ø12ммx70мм<br>нет","SPDTx2","70мм"
,"ETS3000X-B-L(0~200)-0-A-1-78-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø6мм","L(0~200°С)","ø6ммx78мм<br>нет","SPDTx1","78мм"
,"ETS3000X-B-L(0~200)-0-A-1-78-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø6мм","L(0~200°С)","ø6ммx78мм<br>нет","SPDTx2","78мм"
,"ETS3000X-B-L(0~200)-0-A-2-80-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø8мм","L(0~200°С)","ø8ммx80мм<br>нет","SPDTx1","80мм"
,"ETS3000X-B-L(0~200)-0-A-2-80-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø8мм","L(0~200°С)","ø8ммx80мм<br>нет","SPDTx2","80мм"
,"ETS3000X-B-L(0~200)-0-A-4-70-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø12мм","L(0~200°С)","ø12ммx70мм<br>нет","SPDTx1","70мм"
,"ETS3000X-B-L(0~200)-0-A-4-70-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø12мм","L(0~200°С)","ø12ммx70мм<br>нет","SPDTx2","70мм"
,"ETS3000X-B-L(0~200)-0-B-1-78-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø6мм","L(0~200°С)","ø6ммx78мм<br>нет","SPDTx1","78мм"
,"ETS3000X-B-L(0~200)-0-B-1-78-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø6мм","L(0~200°С)","ø6ммx78мм<br>нет","SPDTx2","78мм"
,"ETS3000X-B-L(0~200)-0-B-2-80-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø8мм","L(0~200°С)","ø8ммx80мм<br>нет","SPDTx1","80мм"
,"ETS3000X-B-L(0~200)-0-B-2-80-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø8мм","L(0~200°С)","ø8ммx80мм<br>нет","SPDTx2","80мм"
,"ETS3000X-B-L(0~200)-0-B-4-70-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø12мм","L(0~200°С)","ø12ммx70мм<br>нет","SPDTx1","70мм"
,"ETS3000X-B-L(0~200)-0-B-4-70-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø12мм","L(0~200°С)","ø12ммx70мм<br>нет","SPDTx2","70мм"
,"ETS3000X-B-L(0~250)-0-A-1-63-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø6мм","L(0~250°С)","ø6ммx63мм<br>нет","SPDTx1","63мм"
,"ETS3000X-B-L(0~250)-0-A-1-63-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø6мм","L(0~250°С)","ø6ммx63мм<br>нет","SPDTx2","63мм"
,"ETS3000X-B-L(0~250)-0-A-2-80-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø8мм","L(0~250°С)","ø8ммx80мм<br>нет","SPDTx1","80мм"
,"ETS3000X-B-L(0~250)-0-A-2-80-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø8мм","L(0~250°С)","ø8ммx80мм<br>нет","SPDTx2","80мм"
,"ETS3000X-B-L(0~250)-0-A-4-70-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø12мм","L(0~250°С)","ø12ммx70мм<br>нет","SPDTx1","70мм"
,"ETS3000X-B-L(0~250)-0-A-4-70-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø12мм","L(0~250°С)","ø12ммx70мм<br>нет","SPDTx2","70мм"
,"ETS3000X-B-L(0~250)-0-B-1-63-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø6мм","L(0~250°С)","ø6ммx63мм<br>нет","SPDTx1","63мм"
,"ETS3000X-B-L(0~250)-0-B-1-63-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø6мм","L(0~250°С)","ø6ммx63мм<br>нет","SPDTx2","63мм"
,"ETS3000X-B-L(0~250)-0-B-2-80-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø8мм","L(0~250°С)","ø8ммx80мм<br>нет","SPDTx1","80мм"
,"ETS3000X-B-L(0~250)-0-B-2-80-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø8мм","L(0~250°С)","ø8ммx80мм<br>нет","SPDTx2","80мм"
,"ETS3000X-B-L(0~250)-0-B-4-70-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø12мм","L(0~250°С)","ø12ммx70мм<br>нет","SPDTx1","70мм"
,"ETS3000X-B-L(0~250)-0-B-4-70-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø12мм","L(0~250°С)","ø12ммx70мм<br>нет","SPDTx2","70мм"
,"ETS3000X-B-L(0~300)-0-A-1-53-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø6мм","L(0~300°С)","ø6ммx53мм<br>нет","SPDTx1","53мм"
,"ETS3000X-B-L(0~300)-0-A-1-53-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø6мм","L(0~300°С)","ø6ммx53мм<br>нет","SPDTx2","53мм"
,"ETS3000X-B-L(0~300)-0-A-2-80-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø8мм","L(0~300°С)","ø8ммx80мм<br>нет","SPDTx1","80мм"
,"ETS3000X-B-L(0~300)-0-A-2-80-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø8мм","L(0~300°С)","ø8ммx80мм<br>нет","SPDTx2","80мм"
,"ETS3000X-B-L(0~300)-0-A-4-60-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø12мм","L(0~300°С)","ø12ммx60мм<br>нет","SPDTx1","60мм"
,"ETS3000X-B-L(0~300)-0-A-4-60-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø12мм","L(0~300°С)","ø12ммx60мм<br>нет","SPDTx2","60мм"
,"ETS3000X-B-L(0~300)-0-B-1-53-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø6мм","L(0~300°С)","ø6ммx53мм<br>нет","SPDTx1","53мм"
,"ETS3000X-B-L(0~300)-0-B-1-53-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø6мм","L(0~300°С)","ø6ммx53мм<br>нет","SPDTx2","53мм"
,"ETS3000X-B-L(0~300)-0-B-2-80-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø8мм","L(0~300°С)","ø8ммx80мм<br>нет","SPDTx1","80мм"
,"ETS3000X-B-L(0~300)-0-B-2-80-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø8мм","L(0~300°С)","ø8ммx80мм<br>нет","SPDTx2","80мм"
,"ETS3000X-B-L(0~300)-0-B-4-60-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø12мм","L(0~300°С)","ø12ммx60мм<br>нет","SPDTx1","60мм"
,"ETS3000X-B-L(0~300)-0-B-4-60-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø12мм","L(0~300°С)","ø12ммx60мм<br>нет","SPDTx2","60мм"
,"ETS3000X-B-L(0~400)-0-A-1-39-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø6мм","L(0~400°С)","ø6ммx39мм<br>нет","SPDTx1","39мм"
,"ETS3000X-B-L(0~400)-0-A-1-39-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø6мм","L(0~400°С)","ø6ммx39мм<br>нет","SPDTx2","39мм"
,"ETS3000X-B-L(0~400)-0-A-2-70-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø8мм","L(0~400°С)","ø8ммx70мм<br>нет","SPDTx1","70мм"
,"ETS3000X-B-L(0~400)-0-A-2-70-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø8мм","L(0~400°С)","ø8ммx70мм<br>нет","SPDTx2","70мм"
,"ETS3000X-B-L(0~400)-0-A-4-60-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø12мм","L(0~400°С)","ø12ммx60мм<br>нет","SPDTx1","60мм"
,"ETS3000X-B-L(0~400)-0-A-4-60-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø12мм","L(0~400°С)","ø12ммx60мм<br>нет","SPDTx2","60мм"
,"ETS3000X-B-L(0~400)-0-B-1-39-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø6мм","L(0~400°С)","ø6ммx39мм<br>нет","SPDTx1","39мм"
,"ETS3000X-B-L(0~400)-0-B-1-39-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø6мм","L(0~400°С)","ø6ммx39мм<br>нет","SPDTx2","39мм"
,"ETS3000X-B-L(0~400)-0-B-2-70-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø8мм","L(0~400°С)","ø8ммx70мм<br>нет","SPDTx1","70мм"
,"ETS3000X-B-L(0~400)-0-B-2-70-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø8мм","L(0~400°С)","ø8ммx70мм<br>нет","SPDTx2","70мм"
,"ETS3000X-B-L(0~400)-0-B-4-60-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø12мм","L(0~400°С)","ø12ммx60мм<br>нет","SPDTx1","60мм"
,"ETS3000X-B-L(0~400)-0-B-4-60-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø12мм","L(0~400°С)","ø12ммx60мм<br>нет","SPDTx2","60мм"
,"ETS3000X-B-G(~200~+50)-0-A-1-150-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø6мм","G(~200~+50°С)","ø6ммx150мм<br>нет","SPDTx1","150мм"
,"ETS3000X-B-G(~200~+50)-0-A-1-150-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø6мм","G(~200~+50°С)","ø6ммx150мм<br>нет","SPDTx2","150мм"
,"ETS3000X-B-G(~200~+50)-0-A-2-100-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø8мм","G(~200~+50°С)","ø8ммx100мм<br>нет","SPDTx1","100мм"
,"ETS3000X-B-G(~200~+50)-0-A-2-100-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø8мм","G(~200~+50°С)","ø8ммx100мм<br>нет","SPDTx2","100мм"
,"ETS3000X-B-G(~200~+50)-0-A-3-80-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø10мм","G(~200~+50°С)","ø10ммx80мм<br>нет","SPDTx1","80мм"
,"ETS3000X-B-G(~200~+50)-0-A-3-80-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø10мм","G(~200~+50°С)","ø10ммx80мм<br>нет","SPDTx2","80мм"
,"ETS3000X-B-G(~200~+50)-0-A-4-80-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø12мм","G(~200~+50°С)","ø12ммx80мм<br>нет","SPDTx1","80мм"
,"ETS3000X-B-G(~200~+50)-0-A-4-80-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø12мм","G(~200~+50°С)","ø12ммx80мм<br>нет","SPDTx2","80мм"
,"ETS3000X-B-G(~200~+50)-0-B-1-150-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø6мм","G(~200~+50°С)","ø6ммx150мм<br>нет","SPDTx1","150мм"
,"ETS3000X-B-G(~200~+50)-0-B-1-150-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø6мм","G(~200~+50°С)","ø6ммx150мм<br>нет","SPDTx2","150мм"
,"ETS3000X-B-G(~200~+50)-0-B-2-100-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø8мм","G(~200~+50°С)","ø8ммx100мм<br>нет","SPDTx1","100мм"
,"ETS3000X-B-G(~200~+50)-0-B-2-100-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø8мм","G(~200~+50°С)","ø8ммx100мм<br>нет","SPDTx2","100мм"
,"ETS3000X-B-G(~200~+50)-0-B-3-80-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø10мм","G(~200~+50°С)","ø10ммx80мм<br>нет","SPDTx1","80мм"
,"ETS3000X-B-G(~200~+50)-0-B-3-80-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø10мм","G(~200~+50°С)","ø10ммx80мм<br>нет","SPDTx2","80мм"
,"ETS3000X-B-G(~200~+50)-0-B-4-80-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø12мм","G(~200~+50°С)","ø12ммx80мм<br>нет","SPDTx1","80мм"
,"ETS3000X-B-G(~200~+50)-0-B-4-80-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø12мм","G(~200~+50°С)","ø12ммx80мм<br>нет","SPDTx2","80мм"
,"ETS3000X-B-G(~200~+100)-0-A-1-150-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø6мм","G(~200~+100°С)","ø6ммx150мм<br>нет","SPDTx1","150мм"
,"ETS3000X-B-G(~200~+100)-0-A-1-150-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø6мм","G(~200~+100°С)","ø6ммx150мм<br>нет","SPDTx2","150мм"
,"ETS3000X-B-G(~200~+100)-0-A-2-100-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø8мм","G(~200~+100°С)","ø8ммx100мм<br>нет","SPDTx1","100мм"
,"ETS3000X-B-G(~200~+100)-0-A-2-100-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø8мм","G(~200~+100°С)","ø8ммx100мм<br>нет","SPDTx2","100мм"
,"ETS3000X-B-G(~200~+100)-0-A-3-80-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø10мм","G(~200~+100°С)","ø10ммx80мм<br>нет","SPDTx1","80мм"
,"ETS3000X-B-G(~200~+100)-0-A-3-80-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø10мм","G(~200~+100°С)","ø10ммx80мм<br>нет","SPDTx2","80мм"
,"ETS3000X-B-G(~200~+100)-0-A-4-80-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø12мм","G(~200~+100°С)","ø12ммx80мм<br>нет","SPDTx1","80мм"
,"ETS3000X-B-G(~200~+100)-0-A-4-80-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø12мм","G(~200~+100°С)","ø12ммx80мм<br>нет","SPDTx2","80мм"
,"ETS3000X-B-G(~200~+100)-0-B-1-150-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø6мм","G(~200~+100°С)","ø6ммx150мм<br>нет","SPDTx1","150мм"
,"ETS3000X-B-G(~200~+100)-0-B-1-150-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø6мм","G(~200~+100°С)","ø6ммx150мм<br>нет","SPDTx2","150мм"
,"ETS3000X-B-G(~200~+100)-0-B-2-100-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø8мм","G(~200~+100°С)","ø8ммx100мм<br>нет","SPDTx1","100мм"
,"ETS3000X-B-G(~200~+100)-0-B-2-100-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø8мм","G(~200~+100°С)","ø8ммx100мм<br>нет","SPDTx2","100мм"
,"ETS3000X-B-G(~200~+100)-0-B-3-80-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø10мм","G(~200~+100°С)","ø10ммx80мм<br>нет","SPDTx1","80мм"
,"ETS3000X-B-G(~200~+100)-0-B-3-80-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø10мм","G(~200~+100°С)","ø10ммx80мм<br>нет","SPDTx2","80мм"
,"ETS3000X-B-G(~200~+100)-0-B-4-80-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø12мм","G(~200~+100°С)","ø12ммx80мм<br>нет","SPDTx1","80мм"
,"ETS3000X-B-G(~200~+100)-0-B-4-80-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø12мм","G(~200~+100°С)","ø12ммx80мм<br>нет","SPDTx2","80мм"
,"ETS3000X-B-G(~200~+150)-0-A-1-150-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø6мм","G(~200~+150°С)","ø6ммx150мм<br>нет","SPDTx1","150мм"
,"ETS3000X-B-G(~200~+150)-0-A-1-150-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø6мм","G(~200~+150°С)","ø6ммx150мм<br>нет","SPDTx2","150мм"
,"ETS3000X-B-G(~200~+150)-0-A-2-100-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø8мм","G(~200~+150°С)","ø8ммx100мм<br>нет","SPDTx1","100мм"
,"ETS3000X-B-G(~200~+150)-0-A-2-100-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø8мм","G(~200~+150°С)","ø8ммx100мм<br>нет","SPDTx2","100мм"
,"ETS3000X-B-G(~200~+150)-0-A-3-80-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø10мм","G(~200~+150°С)","ø10ммx80мм<br>нет","SPDTx1","80мм"
,"ETS3000X-B-G(~200~+150)-0-A-3-80-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø10мм","G(~200~+150°С)","ø10ммx80мм<br>нет","SPDTx2","80мм"
,"ETS3000X-B-G(~200~+150)-0-A-4-80-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø12мм","G(~200~+150°С)","ø12ммx80мм<br>нет","SPDTx1","80мм"
,"ETS3000X-B-G(~200~+150)-0-A-4-80-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø12мм","G(~200~+150°С)","ø12ммx80мм<br>нет","SPDTx2","80мм"
,"ETS3000X-B-G(~200~+150)-0-B-1-150-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø6мм","G(~200~+150°С)","ø6ммx150мм<br>нет","SPDTx1","150мм"
,"ETS3000X-B-G(~200~+150)-0-B-1-150-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø6мм","G(~200~+150°С)","ø6ммx150мм<br>нет","SPDTx2","150мм"
,"ETS3000X-B-G(~200~+150)-0-B-2-100-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø8мм","G(~200~+150°С)","ø8ммx100мм<br>нет","SPDTx1","100мм"
,"ETS3000X-B-G(~200~+150)-0-B-2-100-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø8мм","G(~200~+150°С)","ø8ммx100мм<br>нет","SPDTx2","100мм"
,"ETS3000X-B-G(~200~+150)-0-B-3-80-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø10мм","G(~200~+150°С)","ø10ммx80мм<br>нет","SPDTx1","80мм"
,"ETS3000X-B-G(~200~+150)-0-B-3-80-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø10мм","G(~200~+150°С)","ø10ммx80мм<br>нет","SPDTx2","80мм"
,"ETS3000X-B-G(~200~+150)-0-B-4-80-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø12мм","G(~200~+150°С)","ø12ммx80мм<br>нет","SPDTx1","80мм"
,"ETS3000X-B-G(~200~+150)-0-B-4-80-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø12мм","G(~200~+150°С)","ø12ммx80мм<br>нет","SPDTx2","80мм"
,"ETS3000X-B-G(~200~+200)-0-A-1-150-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø6мм","G(~200~+200°С)","ø6ммx150мм<br>нет","SPDTx1","150мм"
,"ETS3000X-B-G(~200~+200)-0-A-1-150-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø6мм","G(~200~+200°С)","ø6ммx150мм<br>нет","SPDTx2","150мм"
,"ETS3000X-B-G(~200~+200)-0-A-2-100-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø8мм","G(~200~+200°С)","ø8ммx100мм<br>нет","SPDTx1","100мм"
,"ETS3000X-B-G(~200~+200)-0-A-2-100-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø8мм","G(~200~+200°С)","ø8ммx100мм<br>нет","SPDTx2","100мм"
,"ETS3000X-B-G(~200~+200)-0-A-3-80-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø10мм","G(~200~+200°С)","ø10ммx80мм<br>нет","SPDTx1","80мм"
,"ETS3000X-B-G(~200~+200)-0-A-3-80-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø10мм","G(~200~+200°С)","ø10ммx80мм<br>нет","SPDTx2","80мм"
,"ETS3000X-B-G(~200~+200)-0-A-4-80-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø12мм","G(~200~+200°С)","ø12ммx80мм<br>нет","SPDTx1","80мм"
,"ETS3000X-B-G(~200~+200)-0-A-4-80-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø12мм","G(~200~+200°С)","ø12ммx80мм<br>нет","SPDTx2","80мм"
,"ETS3000X-B-G(~200~+200)-0-B-1-150-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø6мм","G(~200~+200°С)","ø6ммx150мм<br>нет","SPDTx1","150мм"
,"ETS3000X-B-G(~200~+200)-0-B-1-150-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø6мм","G(~200~+200°С)","ø6ммx150мм<br>нет","SPDTx2","150мм"
,"ETS3000X-B-G(~200~+200)-0-B-2-100-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø8мм","G(~200~+200°С)","ø8ммx100мм<br>нет","SPDTx1","100мм"
,"ETS3000X-B-G(~200~+200)-0-B-2-100-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø8мм","G(~200~+200°С)","ø8ммx100мм<br>нет","SPDTx2","100мм"
,"ETS3000X-B-G(~200~+200)-0-B-3-80-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø10мм","G(~200~+200°С)","ø10ммx80мм<br>нет","SPDTx1","80мм"
,"ETS3000X-B-G(~200~+200)-0-B-3-80-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø10мм","G(~200~+200°С)","ø10ммx80мм<br>нет","SPDTx2","80мм"
,"ETS3000X-B-G(~200~+200)-0-B-4-80-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø12мм","G(~200~+200°С)","ø12ммx80мм<br>нет","SPDTx1","80мм"
,"ETS3000X-B-G(~200~+200)-0-B-4-80-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø12мм","G(~200~+200°С)","ø12ммx80мм<br>нет","SPDTx2","80мм"
,"ETS3000X-B-G(~100~+100)-0-A-1-150-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø6мм","G(~100~+100°С)","ø6ммx150мм<br>нет","SPDTx1","150мм"
,"ETS3000X-B-G(~100~+100)-0-A-1-150-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø6мм","G(~100~+100°С)","ø6ммx150мм<br>нет","SPDTx2","150мм"
,"ETS3000X-B-G(~100~+100)-0-A-2-100-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø8мм","G(~100~+100°С)","ø8ммx100мм<br>нет","SPDTx1","100мм"
,"ETS3000X-B-G(~100~+100)-0-A-2-100-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø8мм","G(~100~+100°С)","ø8ммx100мм<br>нет","SPDTx2","100мм"
,"ETS3000X-B-G(~100~+100)-0-A-3-80-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø10мм","G(~100~+100°С)","ø10ммx80мм<br>нет","SPDTx1","80мм"
,"ETS3000X-B-G(~100~+100)-0-A-3-80-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø10мм","G(~100~+100°С)","ø10ммx80мм<br>нет","SPDTx2","80мм"
,"ETS3000X-B-G(~100~+100)-0-A-4-80-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø12мм","G(~100~+100°С)","ø12ммx80мм<br>нет","SPDTx1","80мм"
,"ETS3000X-B-G(~100~+100)-0-A-4-80-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø12мм","G(~100~+100°С)","ø12ммx80мм<br>нет","SPDTx2","80мм"
,"ETS3000X-B-G(~100~+100)-0-B-1-150-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø6мм","G(~100~+100°С)","ø6ммx150мм<br>нет","SPDTx1","150мм"
